file_name,genre,chroma_stft_mean,chroma_stft_dev,spectral_centroid_mean,spectral_centroid_dev,spectral_rolloff_mean,spectral_rolloff_dev,rms_mean,rms_dev,zero_crossing_rate_mean,zero_crossing_rate_dev
rock.00020.clip0.wav,rock,0.4280262,0.2762166,2545.835059677039,546.9947967391333,4681.649639423077,988.9670627683686,0.19800377,0.037426557,0.16859975961538462,0.05716611542223358
rock.00020.clip1.wav,rock,0.4150767,0.2856589,2258.1851201437735,549.1522185456347,4462.342247596154,1200.2873217429355,0.14156069,0.04736297,0.12730243389423077,0.04571082235030732
rock.00020.clip2.wav,rock,0.34476125,0.28328195,1842.1339980228745,520.0068054012924,4066.876690204327,1400.638186813273,0.115607835,0.025708368,0.06815655048076923,0.024458477074150376
rock.00020.clip3.wav,rock,0.38788646,0.28436026,1938.8790421645344,476.5525229526738,4080.2935321514424,1112.1872278125538,0.13840714,0.033191685,0.08905874399038462,0.03291556669676526
rock.00020.clip4.wav,rock,0.38681355,0.28475213,2202.2356600512776,499.8964893174262,4473.6057692307695,938.3960704503414,0.15528832,0.026960975,0.11533954326923077,0.03555411720133199
rock.00020.clip5.wav,rock,0.41382784,0.27861166,2189.2381395545103,326.9358186247576,4166.509164663462,735.9893273820538,0.17850873,0.034094583,0.12774188701923078,0.02883502549923395
rock.00020.clip6.wav,rock,0.43162403,0.27681798,2523.4875534069206,589.3094578951566,4896.070650540865,1252.3191561085464,0.19409727,0.04877356,0.15472506009615383,0.046738568458467675
rock.00020.clip7.wav,rock,0.40372863,0.2794207,2080.0713276578667,466.56093758758954,4494.0623121995195,1169.5741724137524,0.1057138,0.027783671,0.09764873798076923,0.034697580154514476
rock.00020.clip8.wav,rock,0.37418044,0.2870565,1880.8980136790303,598.0975751582814,4151.104642427885,1352.8716674298958,0.12761958,0.021101685,0.07481595552884615,0.03397940253131969
rock.00020.clip9.wav,rock,0.39073503,0.28538722,2421.629576856471,489.5049393151178,4838.345102163462,1091.9841040650522,0.1610883,0.030019514,0.14048227163461538,0.04250698766415066
rock.00021.clip0.wav,rock,0.40219456,0.28523514,2231.8395824237823,437.6094561686544,4220.342172475962,840.5961785407703,0.13759577,0.03652207,0.13553936298076924,0.046809920479586584
rock.00021.clip1.wav,rock,0.393917,0.28198066,2263.2971817606744,208.2067628330932,4122.117638221154,462.9056080142855,0.18722628,0.033127505,0.141748046875,0.03268543555238621
rock.00021.clip2.wav,rock,0.4271264,0.26379588,1997.3433095426983,495.78360038208393,4288.834322415865,1144.9554547268947,0.12465097,0.030351125,0.09523737980769231,0.026040115340334565
rock.00021.clip3.wav,rock,0.38144985,0.2799058,2192.272262256981,586.6100730869406,4661.607196514423,1233.490808632816,0.12788165,0.024057897,0.10682091346153846,0.042620055296799846
rock.00021.clip4.wav,rock,0.38995078,0.28328657,2420.4879965341306,365.50429165556665,4620.197190504808,744.2026923620883,0.20900555,0.03963539,0.15694861778846153,0.07563925835950008
rock.00021.clip5.wav,rock,0.41330808,0.2851046,2331.4741390927766,720.4403558270949,4464.90966796875,1045.5205960311393,0.15999585,0.045098346,0.1414287860576923,0.08795622346523925
rock.00021.clip6.wav,rock,0.37572214,0.27868497,1888.5973085092473,432.03247848536654,3975.6090369591348,1077.9855468671747,0.13636434,0.039809637,0.08878831129807692,0.027595438430334292
rock.00021.clip7.wav,rock,0.38381106,0.28845453,2245.7675052630952,430.76446395341463,4237.734375,821.6281835101073,0.19436756,0.053461652,0.1283503605769231,0.03724930689270535
rock.00021.clip8.wav,rock,0.36109534,0.29159036,2177.253238033624,484.32170026570486,4230.694673978365,932.9660238161341,0.17618848,0.05915188,0.11961763822115384,0.044464517046601475
rock.00021.clip9.wav,rock,0.42079684,0.2827457,1834.8368084463018,265.30916925179935,3640.3536283052886,538.0179791863613,0.1522062,0.04718121,0.08949819711538462,0.023889454227065024
rock.00022.clip0.wav,rock,0.3296904,0.28508273,2635.015621343202,411.9825877392635,4867.829026442308,1012.7229037817026,0.1347607,0.06116261,0.17643479567307693,0.04729161323853461
rock.00022.clip1.wav,rock,0.4192767,0.28118134,2324.2366972155783,448.9842667009721,4465.9035081129805,875.4264140333729,0.19030006,0.049138475,0.1407752403846154,0.04515320667488382
